ID,NodeA,NodeZ,Free_Flow_Speed,Length,Lane_num
-5670139,C88,C106,27.78,142.47,2
-gneE148,C54,C38,13.89,121.56,2
-gneE17,C19,C36,13.89,146.61,1
-gneE181,C55,C39,13.89,119.43,2
-gneE21,C21,C38,13.89,141.44,1
-gneE221,C88,C71,13.89,102.43,2
-gneE222,C89,C72,13.89,102.77,2
-gneE23,C22,C39,13.89,142.09,1
-gneE232,C54,C71,13.89,32.76,2
-gneE233,C55,C72,13.89,34.39,2
-gneE6,C20,C37,13.89,141.58,1
-gneE65,C106,C119,13.89,288.83,2
-gneE87,C119,C134,13.89,254.88,2
167922071,C143,C144,11.18,65.45,4
195743336#0,C106,C107,27.78,68.28,3
195743336#1,C107,C108,27.78,61.51,3
195743336#2,C108,C109,27.78,65.32,3
196116976#0,C148,C149,22.22,86.11,1
196116976#5,C151,C152,22.22,61.30,1
226041012#2,C90,C108,13.89,142.41,1
308322447#2,C133,C118,13.89,265.47,2
324118558,C162,C151,27.78,144.65,2
384178816#0,C114,C115,27.78,62.25,3
384178816#1,C115,C116,27.78,66.76,3
420281338,C92,C110,27.78,138.98,2
420281339,C92,C91,27.78,61.61,2
420890025,C162,C161,27.78,38.05,4
420906753,C94,C93,27.78,61.41,2
420907906#0,C167,C166,11.18,62.29,4
420907906#1,C166,C165,11.18,70.91,4
420907906#2,C165,C164,11.18,66.44,4
452322756#0,C158,C169,11.18,217.79,1
458166897#10,C29,C28,27.78,75.33,7
458166897#11,C28,C27,27.78,69.53,7
458166897#12,C27,C26,27.78,69.65,7
458166897#13,C26,C25,27.78,70.60,7
458166897#14,C25,C24,27.78,64.10,7
458166897#15,C24,C23,27.78,70.43,7
458180185,C96,C95,27.78,61.25,2
458180191#0,C110,C111,11.18,65.64,3
458180191#1,C111,C112,11.18,61.31,3
458180191#2,C112,C113,11.18,61.99,3
458180193#0,C42,C43,27.78,65.38,3
458180193#1,C43,C44,27.78,61.38,3
458180193#2,C44,C45,27.78,58.94,3
458180194,C41,C24,27.78,133.04,2
458180195,C41,C42,27.78,58.92,3
458180197,C109,C110,11.18,58.49,3
464516471#0,C132,C131,27.78,75.01,3
464516471#1,C131,C130,27.78,69.45,3
464516471#2,C130,C129,27.78,67.56,3
464516471#8,C127,C126,27.78,59.98,3
46521998,C25,C42,11.18,133.13,2
46538375#7,C164,C153,11.18,163.75,1
496989355#0,C134,C135,27.78,75.25,4
496992867,C111,C93,11.18,138.94,1
497258108#0,C119,C118,27.78,68.58,3
497258108#1,C118,C117,27.78,60.38,3
499172074#0,C108,C121,13.89,293.28,1
541350711#0,C121,C120,27.78,61.49,3
541350711#1,C120,C119,27.78,68.22,3
5670139,C106,C88,27.78,142.47,2
5671129,C107,C89,13.89,142.51,2
5672036#0,C116,C129,11.18,289.53,1
5672954,C109,C91,27.78,139.12,2
5673497,C113,C95,27.78,139.37,2
569345502#0,C38,C39,27.78,64.98,3
569345502#1,C39,C40,27.78,58.00,3
569345502#2,C40,C41,27.78,62.12,3
569345537#4,C123,C122,27.78,58.55,3
569345537#5,C122,C121,27.78,65.31,3
588157336,C37,C38,27.78,67.04,3
618990022#11,C120,C107,13.89,293.28,2
618990022#3,C159,C149,13.89,123.11,2
658583340#3,C27,C44,13.89,133.50,1
671208359,C53,C37,13.89,117.37,2
743358443#0,C43,C26,11.18,133.39,1
812949647#0,C152,C163,27.78,154.80,2
812949648#0,C152,C153,22.22,64.93,1
812949648#1,C153,C154,22.22,64.62,1
812949648#7,C156,C157,22.22,69.63,1
gneE1,C45,C28,13.89,133.46,1
gneE100,C129,C144,13.89,254.19,1
gneE101,C144,C145,13.89,64.87,4
gneE102,C144,C158,13.89,29.09,1
gneE103,C157,C158,13.89,67.90,1
gneE104,C143,C157,13.89,45.35,1
gneE105,C145,C130,13.89,263.25,1
gneE106,C145,C146,13.89,64.38,4
gneE107,C170,C145,13.89,257.64,1
gneE108,C146,C147,13.89,87.52,4
gneE109,C146,C171,13.89,258.15,1
gneE11,C36,C37,13.89,64.02,3
gneE110,C131,C146,13.89,262.24,1
gneE111,C139,C140,13.89,64.50,4
gneE112,C153,C139,13.89,65.75,1
gneE113,C154,C165,13.89,172.49,1
gneE114,C154,C155,13.89,67.85,1
gneE115,C140,C141,13.89,67.45,4
gneE116,C141,C142,13.89,62.34,4
gneE117,C166,C155,13.89,175.93,2
gneE118,C155,C141,13.89,60.81,2
gneE119,C155,C156,13.89,62.45,1
gneE120,C142,C156,13.89,55.17,1
gneE121,C156,C167,13.89,180.56,1
gneE122,C168,C157,13.89,201.99,1
gneE123,C142,C143,13.89,65.18,4
gneE124,C140,C154,13.89,61.83,1
gneE125,C163,C162,13.89,66.96,4
gneE126,C164,C163,13.89,65.85,4
gneE130,C125,C124,13.89,60.91,3
gneE14,C35,C36,13.89,71.72,3
gneE147,C54,C53,13.89,66.56,3
gneE148,C38,C54,13.89,121.56,2
gneE168,C55,C54,13.89,64.09,3
gneE169,C56,C55,13.89,57.82,3
gneE17,C36,C19,13.89,146.61,1
gneE170,C57,C56,13.89,60.56,3
gneE172,C58,C57,13.89,57.07,3
gneE176,C59,C58,13.89,62.21,3
gneE178,C60,C59,13.89,59.50,3
gneE179,C61,C60,13.89,64.33,3
gneE180,C62,C61,13.89,64.09,3
gneE181,C39,C55,13.89,119.43,2
gneE182,C40,C56,13.89,118.86,2
gneE183,C41,C57,13.89,119.76,2
gneE184,C42,C58,13.89,119.93,2
gneE185,C43,C59,13.89,118.41,1
gneE186,C44,C60,13.89,118.05,2
gneE187,C45,C61,13.89,118.27,2
gneE19,C20,C19,13.89,69.35,6
gneE193,C68,C69,13.89,72.56,3
gneE194,C69,C70,13.89,60.39,3
gneE195,C70,C71,13.89,68.49,3
gneE196,C71,C72,13.89,65.10,3
gneE197,C72,C73,13.89,55.25,3
gneE198,C73,C74,13.89,61.27,3
gneE199,C74,C75,13.89,57.50,3
gneE20,C19,C18,13.89,73.89,5
gneE200,C75,C76,13.89,64.15,3
gneE202,C76,C77,13.89,60.14,3
gneE203,C77,C78,13.89,66.84,3
gneE204,C78,C79,13.89,67.75,3
gneE21,C38,C21,13.89,141.44,1
gneE210,C69,C86,13.89,102.57,1
gneE211,C70,C87,13.89,103.56,2
gneE214,C73,C90,13.89,103.48,2
gneE216,C75,C92,13.89,104.83,2
gneE217,C76,C93,13.89,104.95,1
gneE218,C77,C94,13.89,105.45,2
gneE221,C71,C88,13.89,102.43,2
gneE222,C72,C89,13.89,102.77,2
gneE23,C39,C22,13.89,142.09,1
gneE230,C69,C52,13.89,31.53,1
